Back to Contents,Data 1: Proved Reserves as of 12/31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,RCRR01NUS_1,RCRR01R48_1,RCRR01R48F_1,RCRR01R5F_1,RCRR01R1901F_1,RCRR01R44F_1,RCRR01SAK_1,RCRR01SAL_1,RCRR01SAR_1,RCRR01SCA_1,RCRR01RCAC_1,RCRR01RCAL_1,RCRR01RCAJ_1,RCRR01RCASF_1,RCRR01SCO_1,RCRR01SFL_1,RCRR01SIL_1,RCRR01SIN_1,RCRR01SKS_1,RCRR01SKY_1,RCRR01SLA_1,RCRR01RLAN_1,RCRR01RLASO_1,RCRR01RLASF_1,RCRR01SMI_1,RCRR01SMS_1,RCRR01SMT_1,RCRR01SNE_1,RCRR01SNM_1,RCRR01RNMEAST_1,RCRR01RNMWEST_1,RCRR01SND_1,RCRR01SOH_1,RCRR01SOK_1,RCRR01SPA_1,RCRR01STX_1,RCRR01RTX01_1,RCRR01RTX02_1,RCRR01RTX03_1,RCRR01RTX04_1,RCRR01RTX05_1,RCRR01RTX06_1,RCRR01RTX07B_1,RCRR01RTX07C_1,RCRR01RTX08_1,RCRR01RTX08A_1,RCRR01RTX09_1,RCRR01RTX10_1,RCRR01RTXSF_1,RCRR01SUT_1,RCRR01SWV_1,RCRR01SWY_1,RCRR01RMS_1,
1987,27256,19878,2639,1037,1514,88,7378,55,82,4709,625,361,3208,515,272,61,153,23,357,25,807,175,505,127,151,202,246,33,654,608,46,215,66,788,26,7112,143,137,386,80,54,733,200,220,2108,2735,206,102,8,284,34,854,30,
1988,26825,19866,2629,1024,1527,78,6959,54,77,4879,576,391,3439,473,257,59,143,22,327,34,800,154,511,135,132,221,241,42,661,621,40,216,64,796,27,7043,136,117,360,65,48,685,205,212,2107,2800,202,99,7,260,33,815,34,
1989,26501,19827,2747,987,1691,69,6674,43,66,4816,588,342,3444,442,359,50,123,16,338,33,745,123,479,143,128,218,225,32,665,619,46,246,56,789,26,6966,139,107,307,77,46,631,204,247,2151,2754,200,97,6,246,30,825,39,
1990,26254,19730,2805,962,1772,71,6524,44,60,4658,588,316,3334,420,305,42,131,12,321,33,705,120,435,150,124,227,221,26,687,633,54,285,65,734,22,7106,252,91,275,67,47,605,198,274,2152,2847,193,99,6,249,31,794,43,
1991,24682,18599,2620,785,1775,60,6083,43,70,4217,554,272,3126,265,329,37,128,16,300,31,679,127,408,144,119,194,201,26,721,694,27,232,66,700,15,6797,227,90,300,52,46,504,184,253,2114,2763,162,95,7,233,26,757,42,
1992,23745,17723,2569,734,1643,192,6022,41,58,3893,522,236,2898,237,304,36,138,17,310,34,668,125,417,126,102,165,193,26,757,731,26,237,58,698,16,6441,185,86,304,50,56,442,163,255,2031,2599,176,89,5,217,27,689,29,
1993,22957,17182,2745,673,1880,192,5775,41,65,3764,528,238,2772,226,284,40,116,15,271,26,639,108,382,149,90,133,171,20,707,688,19,226,54,680,14,6171,133,77,327,59,52,406,171,199,2057,2435,168,83,4,228,24,624,34,
1994,22457,16690,2780,653,1922,205,5767,44,51,3573,480,221,2647,225,271,71,117,15,260,26,649,108,391,150,91,151,175,22,718,702,16,226,58,689,15,5847,100,74,330,41,49,424,145,221,2002,2223,159,75,4,231,25,565,20,
1995,22351,16771,3089,571,2269,249,5580,43,48,3462,456,227,2577,202,252,71,119,13,275,24,637,108,387,142,76,140,178,25,732,713,19,233,53,676,11,5743,90,61,267,50,34,409,126,204,2032,2233,149,80,8,216,28,605,22,
1996,22017,16743,3085,518,2357,210,5274,45,58,3437,425,234,2597,181,231,97,94,11,266,21,658,128,382,148,74,164,168,28,744,731,13,248,53,632,10,5736,86,63,281,51,29,359,136,219,2079,2207,144,74,8,237,25,603,18,
1997,22546,17385,3477,528,2587,362,5161,47,45,3750,430,268,2871,181,198,91,92,10,238,20,714,136,427,151,68,183,159,21,735,719,16,279,43,605,17,5687,83,66,259,70,54,348,155,227,2100,2098,144,79,4,234,26,627,19,
1998,21034,15982,3261,468,2483,310,5052,39,47,3843,354,207,3127,155,212,71,81,13,246,23,551,101,353,97,44,141,167,18,620,610,10,245,40,599,15,4927,61,45,211,40,40,308,115,173,1865,1895,111,62,1,201,17,547,14,
1999,21765,16865,3297,553,2442,302,4900,49,48,3934,491,297,2949,197,203,85,100,10,175,24,600,108,384,108,52,163,207,17,718,705,13,262,51,621,16,5339,66,53,221,42,37,245,123,209,2067,2089,123,61,3,268,21,590,15,
2000,22045,17184,3770,596,2751,423,4861,34,48,3813,455,292,2870,196,217,76,111,15,237,24,529,97,310,122,56,182,235,18,719,705,14,270,59,610,15,5273,87,54,213,34,44,213,124,206,2073,2022,131,67,5,283,12,561,17,
2001,22446,17595,4835,547,3877,411,4851,42,43,3627,385,297,2766,179,196,75,92,12,216,17,564,87,341,136,46,167,260,15,715,703,12,328,46,556,10,4944,46,48,195,32,29,200,91,188,1880,2070,104,55,6,271,8,489,21,
2002,22677,17999,5009,565,4088,356,4678,51,49,3633,404,330,2702,197,214,73,107,15,237,27,501,75,335,91,61,179,288,18,710,699,11,342,67,598,12,5015,50,54,218,28,24,198,82,177,1913,2093,113,59,6,241,13,524,15,
